combined_shot_type;loc_x;loc_y;minutes_remaining;period;playoffs;season;seconds_remaining;shot_made_flag;shot_type
Jump Shot;143;205;0;4;1;1999-00;26;0;3PT Field Goal
Jump Shot;193;156;10;3;0;2012-13;20;1;3PT Field Goal
Jump Shot;-96;-5;10;3;0;1999-00;36;0;2PT Field Goal
Layup;0;1;10;1;0;2010-11;8;1;2PT Field Goal
Jump Shot;59;124;10;1;0;1998-99;38;0;2PT Field Goal
Jump Shot;125;183;7;1;0;2007-08;17;0;2PT Field Goal
Dunk;0;0;0;1;0;2005-06;45;1;2PT Field Goal
Jump Shot;-184;602;0;3;0;2004-05;0;0;3PT Field Goal
Jump Shot;-4;249;2;4;0;2015-16;2;0;3PT Field Goal
Jump Shot;-117;156;10;3;0;2003-04;13;1;2PT Field Goal
Jump Shot;174;34;3;2;0;2001-02;31;1;2PT Field Goal
Layup;0;0;0;3;0;2006-07;10;1;2PT Field Goal
Jump Shot;222;121;10;3;0;2014-15;44;0;3PT Field Goal
Jump Shot;154;71;10;1;0;2008-09;41;0;2PT Field Goal
Jump Shot;-79;150;10;2;0;2001-02;33;1;2PT Field Goal
Layup;-12;13;9;1;0;2001-02;23;1;2PT Field Goal
Jump Shot;115;112;0;2;0;2000-01;6;0;2PT Field Goal
Jump Shot;-116;113;7;1;0;2011-12;41;0;2PT Field Goal
Layup;13;15;2;1;0;2013-14;59;1;2PT Field Goal
Jump Shot;92;138;2;4;1;2008-09;45;0;2PT Field Goal
Jump Shot;54;12;0;4;0;2011-12;1;0;2PT Field Goal
Jump Shot;117;-1;2;1;1;1997-98;24;1;2PT Field Goal
Jump Shot;-241;41;1;1;0;2004-05;55;1;3PT Field Goal
Jump Shot;-75;55;2;4;0;2011-12;16;1;2PT Field Goal
Jump Shot;157;57;6;2;1;2001-02;19;0;2PT Field Goal
Jump Shot;115;163;7;1;0;2000-01;8;0;2PT Field Goal
Layup;0;0;11;3;0;2001-02;0;1;2PT Field Goal
Layup;0;0;0;2;0;1999-00;2;0;2PT Field Goal
Jump Shot;-56;56;3;1;0;2008-09;48;0;2PT Field Goal
Jump Shot;-151;210;2;2;1;2006-07;15;0;3PT Field Goal
Jump Shot;49;36;9;3;0;2001-02;4;0;2PT Field Goal
Jump Shot;-48;105;7;4;0;2002-03;20;0;2PT Field Goal
Jump Shot;-101;60;6;2;1;2008-09;49;0;2PT Field Goal
Layup;-24;0;0;2;0;2012-13;0;0;2PT Field Goal
Layup;0;0;4;2;0;2006-07;8;0;2PT Field Goal
Jump Shot;-54;146;7;4;1;2011-12;59;1;2PT Field Goal
Jump Shot;-43;164;2;2;0;2009-10;2;1;2PT Field Goal
Jump Shot;105;-5;8;1;0;2009-10;0;1;2PT Field Goal
Layup;0;0;1;3;1;2001-02;26;0;2PT Field Goal
Jump Shot;-110;176;3;3;0;2002-03;50;0;2PT Field Goal
Layup;0;0;7;3;0;2005-06;51;1;2PT Field Goal
Jump Shot;-89;105;11;1;0;2010-11;41;1;2PT Field Goal
Jump Shot;-48;53;2;2;1;1998-99;25;0;2PT Field Goal
Layup;0;0;0;3;0;2000-01;37;1;2PT Field Goal
Jump Shot;149;222;9;3;0;2008-09;49;1;3PT Field Goal
Layup;13;9;1;3;0;2012-13;58;1;2PT Field Goal
Jump Shot;62;-10;11;1;0;2012-13;1;0;2PT Field Goal
Layup;1;10;1;1;0;2007-08;1;1;2PT Field Goal
Layup;0;0;4;4;0;2000-01;53;0;2PT Field Goal
Jump Shot;-69;191;11;2;0;2002-03;42;1;2PT Field Goal
Jump Shot;-65;132;6;1;1;2010-11;44;0;2PT Field Goal
Layup;0;0;5;4;1;2003-04;22;1;2PT Field Goal
Jump Shot;-15;39;1;4;0;2008-09;19;0;2PT Field Goal
Jump Shot;159;116;2;2;0;2000-01;30;0;2PT Field Goal
Jump Shot;130;38;0;2;0;1997-98;39;1;2PT Field Goal
Jump Shot;124;94;10;3;0;2008-09;18;0;2PT Field Goal
Jump Shot;1;158;9;1;0;1996-97;29;1;2PT Field Goal
Layup;0;0;11;3;0;2009-10;27;1;2PT Field Goal
Jump Shot;-101;131;1;3;0;2011-12;18;0;2PT Field Goal
Jump Shot;54;120;8;4;0;2004-05;46;1;2PT Field Goal
Layup;0;0;4;1;0;2005-06;8;1;2PT Field Goal
Layup;0;0;4;3;0;2004-05;53;0;2PT Field Goal
Jump Shot;117;161;2;1;1;2006-07;50;0;2PT Field Goal
Jump Shot;169;180;11;1;0;2015-16;14;0;3PT Field Goal
Jump Shot;-151;245;4;4;0;2006-07;44;0;3PT Field Goal
Jump Shot;113;26;2;3;0;2011-12;12;0;2PT Field Goal
Jump Shot;0;168;7;3;0;2011-12;35;0;2PT Field Goal
Layup;-5;26;7;4;1;2011-12;7;1;2PT Field Goal
Jump Shot;56;47;8;2;0;2000-01;48;1;2PT Field Goal
Dunk;0;0;5;3;1;2003-04;23;1;2PT Field Goal
Jump Shot;164;174;6;2;0;2015-16;0;1;3PT Field Goal
Layup;0;0;5;4;0;2005-06;18;1;2PT Field Goal
Jump Shot;53;249;7;3;0;2008-09;0;0;3PT Field Goal
Layup;-23;4;6;3;0;2014-15;12;1;2PT Field Goal
Jump Shot;-87;151;0;3;0;2005-06;26;1;2PT Field Goal
Jump Shot;154;167;10;1;0;2008-09;9;0;2PT Field Goal
Jump Shot;0;199;11;3;0;2005-06;6;1;2PT Field Goal
Jump Shot;-8;118;10;1;0;2003-04;41;0;2PT Field Goal
Jump Shot;54;-18;10;2;0;2003-04;49;0;2PT Field Goal
Jump Shot;-122;110;6;3;0;2015-16;25;0;2PT Field Goal
Jump Shot;-166;10;3;5;1;2002-03;2;0;2PT Field Goal
Jump Shot;2;112;5;4;1;2008-09;4;0;2PT Field Goal
Jump Shot;-154;203;2;3;0;1997-98;44;0;3PT Field Goal
Jump Shot;-128;89;2;1;0;2010-11;15;0;2PT Field Goal
Jump Shot;131;-24;8;1;0;2004-05;52;0;2PT Field Goal
Jump Shot;64;312;0;4;0;2010-11;30;0;3PT Field Goal
Jump Shot;-126;8;9;4;0;2003-04;36;0;2PT Field Goal
Jump Shot;-71;208;3;7;0;2010-11;26;0;2PT Field Goal
Jump Shot;115;3;2;2;0;2006-07;2;0;2PT Field Goal
Jump Shot;-118;132;9;1;0;2005-06;35;0;2PT Field Goal
Jump Shot;-161;208;6;1;0;2015-16;30;0;3PT Field Goal
Jump Shot;-136;81;10;3;0;2005-06;38;0;2PT Field Goal
Layup;0;0;4;3;0;2001-02;5;0;2PT Field Goal
Dunk;0;0;6;2;0;2002-03;41;1;2PT Field Goal
Jump Shot;-79;86;1;2;0;2012-13;54;0;2PT Field Goal
Layup;0;0;8;2;1;2001-02;46;1;2PT Field Goal
Layup;0;0;1;3;0;2003-04;0;1;2PT Field Goal
Jump Shot;105;110;1;1;0;2006-07;57;0;2PT Field Goal
Jump Shot;13;95;1;4;0;2006-07;43;0;2PT Field Goal
Jump Shot;65;56;5;1;0;2012-13;0;0;2PT Field Goal
Jump Shot;176;170;6;1;0;2015-16;4;0;3PT Field Goal
Jump Shot;89;33;4;3;0;1999-00;10;0;2PT Field Goal
Jump Shot;-170;30;2;4;0;2001-02;46;0;2PT Field Goal
Jump Shot;-150;119;8;3;0;2008-09;59;1;2PT Field Goal
Jump Shot;-60;82;5;3;1;2009-10;20;0;2PT Field Goal
Jump Shot;37;41;0;5;0;2011-12;17;0;2PT Field Goal
Jump Shot;105;35;9;4;0;2002-03;43;0;2PT Field Goal
Layup;0;0;4;4;0;2004-05;4;1;2PT Field Goal
Layup;-27;3;5;3;0;2015-16;57;1;2PT Field Goal
Layup;0;0;4;4;0;2007-08;37;0;2PT Field Goal
Jump Shot;79;181;10;2;0;2000-01;13;1;2PT Field Goal
Jump Shot;-10;250;3;3;0;2004-05;54;0;3PT Field Goal
Jump Shot;-20;71;3;2;0;2002-03;30;1;2PT Field Goal
Layup;10;17;10;4;0;2006-07;27;0;2PT Field Goal
Jump Shot;159;0;6;2;0;2000-01;2;0;2PT Field Goal
Jump Shot;-213;41;0;4;0;2011-12;24;1;2PT Field Goal
Layup;0;0;8;4;1;1999-00;13;1;2PT Field Goal
Jump Shot;-177;11;0;4;0;2011-12;0;0;2PT Field Goal
Dunk;0;1;3;4;0;2014-15;12;1;2PT Field Goal
Layup;0;0;3;4;1;2002-03;6;1;2PT Field Goal
Jump Shot;-164;48;0;3;0;1997-98;44;0;2PT Field Goal
Jump Shot;-122;-6;8;4;0;2009-10;43;0;2PT Field Goal
Jump Shot;43;207;11;3;0;2006-07;41;1;2PT Field Goal
Jump Shot;-27;68;11;4;0;1998-99;2;1;2PT Field Goal
Layup;0;0;5;1;0;2006-07;51;0;2PT Field Goal
Jump Shot;-112;189;4;4;0;2004-05;4;1;2PT Field Goal
Jump Shot;176;41;11;4;0;2005-06;0;1;2PT Field Goal
Jump Shot;113;45;4;2;0;2010-11;34;1;2PT Field Goal
Layup;2;11;7;3;0;2015-16;38;1;2PT Field Goal
Jump Shot;-164;44;5;4;0;1998-99;44;1;2PT Field Goal
Jump Shot;82;173;11;1;0;2002-03;23;0;2PT Field Goal
Jump Shot;136;-2;2;2;0;2008-09;32;1;2PT Field Goal
Jump Shot;170;4;4;3;0;2012-13;2;0;2PT Field Goal
Jump Shot;72;135;3;4;0;2002-03;29;0;2PT Field Goal
Jump Shot;5;270;4;2;0;2002-03;3;0;3PT Field Goal
Jump Shot;-171;99;9;1;0;2005-06;51;1;2PT Field Goal
Jump Shot;-46;220;2;2;0;2003-04;51;0;2PT Field Goal
Jump Shot;59;49;10;3;0;2003-04;37;1;2PT Field Goal
Jump Shot;-109;12;2;3;0;1997-98;5;1;2PT Field Goal
Jump Shot;-153;194;5;3;0;2005-06;48;1;3PT Field Goal
Layup;0;0;6;1;1;2009-10;23;1;2PT Field Goal
Jump Shot;62;9;4;3;0;2001-02;5;1;2PT Field Goal
Jump Shot;-102;145;10;4;0;2003-04;45;0;2PT Field Goal
Jump Shot;-97;36;3;2;0;2011-12;14;1;2PT Field Goal
Jump Shot;-199;109;10;4;0;1998-99;9;0;2PT Field Goal
Jump Shot;-20;150;9;3;1;2007-08;46;0;2PT Field Goal
Jump Shot;-48;31;9;1;1;2010-11;40;1;2PT Field Goal
Jump Shot;13;86;6;2;0;2010-11;20;1;2PT Field Goal
Layup;0;0;3;2;0;2006-07;27;0;2PT Field Goal
Jump Shot;11;173;0;1;0;2007-08;40;0;2PT Field Goal
Dunk;0;0;0;4;0;1999-00;28;1;2PT Field Goal
Jump Shot;151;148;9;1;0;2004-05;13;0;2PT Field Goal
Jump Shot;42;172;11;3;0;2012-13;17;0;2PT Field Goal
Jump Shot;141;155;11;4;0;2002-03;20;0;2PT Field Goal
Dunk;0;0;10;1;0;2004-05;21;1;2PT Field Goal
Jump Shot;-120;176;2;3;0;2008-09;46;0;2PT Field Goal
Layup;0;0;1;5;0;1996-97;13;1;2PT Field Goal
Jump Shot;190;7;4;3;0;2010-11;4;0;2PT Field Goal
Jump Shot;79;253;0;4;0;2000-01;3;0;3PT Field Goal
Jump Shot;148;28;1;4;0;2004-05;54;0;2PT Field Goal
Jump Shot;-8;101;4;1;0;2010-11;34;0;2PT Field Goal
Jump Shot;193;160;0;4;0;2012-13;3;0;3PT Field Goal
Jump Shot;46;2;6;2;0;2015-16;20;0;2PT Field Goal
Layup;0;0;7;4;0;2007-08;37;1;2PT Field Goal
Jump Shot;53;101;10;1;1;2009-10;22;1;2PT Field Goal
Jump Shot;152;64;5;4;0;2009-10;36;0;2PT Field Goal
Jump Shot;171;112;11;3;0;2005-06;51;1;2PT Field Goal
Jump Shot;4;56;7;1;0;2009-10;16;0;2PT Field Goal
Jump Shot;-103;156;3;2;0;2007-08;35;0;2PT Field Goal
Jump Shot;-214;135;0;1;0;2001-02;27;0;3PT Field Goal
Jump Shot;-95;75;11;1;0;2009-10;45;1;2PT Field Goal
Jump Shot;146;82;9;3;0;2000-01;9;1;2PT Field Goal
Jump Shot;211;26;4;4;0;2012-13;43;0;2PT Field Goal
Jump Shot;110;200;0;2;1;2009-10;39;0;2PT Field Goal
Layup;0;0;0;3;0;2004-05;39;0;2PT Field Goal
Jump Shot;-128;153;1;4;0;2004-05;3;0;2PT Field Goal
Jump Shot;88;187;10;3;0;2008-09;25;1;2PT Field Goal
Jump Shot;-187;86;0;2;0;2014-15;46;0;2PT Field Goal
Jump Shot;-5;52;4;1;0;2008-09;32;0;2PT Field Goal
Jump Shot;96;7;9;1;1;2000-01;42;0;2PT Field Goal
Jump Shot;143;201;7;2;1;1999-00;27;1;3PT Field Goal
Jump Shot;18;144;2;1;0;2000-01;33;0;2PT Field Goal
Jump Shot;113;47;7;3;0;2008-09;11;0;2PT Field Goal
Layup;0;0;4;4;0;1996-97;44;0;2PT Field Goal
Jump Shot;56;75;4;4;1;2010-11;37;0;2PT Field Goal
Layup;0;0;6;1;0;1999-00;39;1;2PT Field Goal
Jump Shot;153;154;0;2;0;2001-02;29;0;2PT Field Goal
Jump Shot;-209;12;10;1;0;2002-03;30;1;2PT Field Goal
Jump Shot;-181;209;10;3;0;2004-05;14;0;3PT Field Goal
Jump Shot;56;60;6;2;0;2009-10;49;0;2PT Field Goal
Jump Shot;-139;209;1;2;0;2012-13;55;0;3PT Field Goal
Jump Shot;0;82;2;1;0;2006-07;30;0;2PT Field Goal
Layup;0;0;8;2;0;2003-04;36;1;2PT Field Goal
Layup;0;0;0;3;0;2006-07;1;0;2PT Field Goal
Jump Shot;157;-2;2;4;0;2008-09;59;1;2PT Field Goal
Jump Shot;-13;51;5;3;0;2004-05;45;0;2PT Field Goal
Jump Shot;207;210;6;3;1;2006-07;18;0;3PT Field Goal
Jump Shot;123;144;6;3;0;2000-01;16;0;2PT Field Goal
Jump Shot;-229;-35;4;4;0;2012-13;47;1;3PT Field Goal
Layup;0;0;6;3;0;2007-08;54;0;2PT Field Goal
Jump Shot;113;233;6;1;0;2008-09;17;1;3PT Field Goal
Jump Shot;-232;102;7;4;1;2003-04;4;0;3PT Field Goal
Layup;0;0;7;3;0;2009-10;1;1;2PT Field Goal
Jump Shot;38;110;8;1;0;2007-08;6;1;2PT Field Goal
Layup;-10;8;5;2;0;2007-08;39;0;2PT Field Goal
Dunk;0;0;0;1;0;2002-03;0;1;2PT Field Goal
Layup;0;0;9;1;0;2001-02;48;1;2PT Field Goal
Jump Shot;182;-23;11;4;0;2000-01;13;0;2PT Field Goal
Jump Shot;181;-3;4;2;0;2007-08;33;1;2PT Field Goal
Jump Shot;-150;200;5;3;0;2014-15;38;1;3PT Field Goal
Jump Shot;159;36;8;3;0;2005-06;5;1;2PT Field Goal
Layup;28;10;1;2;0;2005-06;0;1;2PT Field Goal
Jump Shot;53;157;10;3;0;2008-09;35;1;2PT Field Goal
Dunk;0;0;4;3;0;2001-02;30;1;2PT Field Goal
Layup;18;-2;9;3;0;2012-13;59;1;2PT Field Goal
Jump Shot;119;37;5;1;0;2008-09;10;0;2PT Field Goal
Jump Shot;115;139;11;3;0;1999-00;14;1;2PT Field Goal
Jump Shot;-159;-9;8;3;0;2002-03;59;0;2PT Field Goal
Jump Shot;-103;-23;5;3;0;2003-04;12;1;2PT Field Goal
Jump Shot;-131;112;1;1;0;2002-03;34;1;2PT Field Goal
Jump Shot;182;9;11;3;0;2012-13;47;1;2PT Field Goal
Jump Shot;153;49;10;4;0;2005-06;39;1;2PT Field Goal
Layup;18;11;11;1;0;2011-12;25;1;2PT Field Goal
Jump Shot;-103;61;1;5;0;2010-11;51;0;2PT Field Goal
Jump Shot;118;164;1;4;0;2012-13;37;0;2PT Field Goal
Dunk;0;0;6;3;0;2007-08;10;1;2PT Field Goal
Jump Shot;-106;165;5;4;0;2012-13;44;0;2PT Field Goal
Jump Shot;136;74;7;1;0;2012-13;46;1;2PT Field Goal
Jump Shot;189;172;2;3;0;2012-13;16;0;3PT Field Goal
Jump Shot;110;117;0;4;0;2002-03;8;1;2PT Field Goal
Jump Shot;-155;38;1;1;0;2000-01;12;0;2PT Field Goal
Jump Shot;-1;66;2;3;1;2000-01;37;1;2PT Field Goal
Jump Shot;49;85;11;4;0;2000-01;38;1;2PT Field Goal
Jump Shot;100;259;7;3;0;2000-01;20;0;3PT Field Goal
Jump Shot;-67;165;4;1;0;2001-02;18;0;2PT Field Goal
Layup;0;0;1;4;0;2004-05;35;0;2PT Field Goal
Jump Shot;106;129;2;2;0;2008-09;25;1;2PT Field Goal
Jump Shot;84;69;10;1;0;2006-07;20;1;2PT Field Goal
Jump Shot;-149;13;0;2;0;2006-07;3;1;2PT Field Goal
Layup;0;0;3;1;0;2000-01;53;1;2PT Field Goal
Dunk;0;0;1;3;0;1997-98;28;1;2PT Field Goal
Jump Shot;-111;34;1;4;0;2000-01;33;1;2PT Field Goal
Jump Shot;-179;198;11;3;1;2008-09;3;0;3PT Field Goal
Layup;0;0;3;3;0;2005-06;18;1;2PT Field Goal
Jump Shot;32;91;5;4;1;2001-02;20;1;2PT Field Goal
Jump Shot;152;26;8;3;0;2009-10;46;1;2PT Field Goal
Dunk;0;0;0;2;0;2005-06;25;1;2PT Field Goal
Layup;0;0;0;5;0;2009-10;48;1;2PT Field Goal
Jump Shot;-138;235;5;3;0;2007-08;31;1;3PT Field Goal
Jump Shot;111;157;0;4;0;2010-11;19;0;2PT Field Goal
Layup;0;0;6;1;1;1999-00;47;0;2PT Field Goal
Jump Shot;103;148;10;3;0;2006-07;53;0;2PT Field Goal
Jump Shot;-11;255;4;4;0;2005-06;49;0;3PT Field Goal
Jump Shot;151;214;9;4;0;1997-98;4;1;3PT Field Goal
Jump Shot;-139;20;0;3;1;2011-12;54;0;2PT Field Goal
Jump Shot;28;163;2;1;0;2007-08;45;1;2PT Field Goal
Jump Shot;131;155;4;4;0;2007-08;25;0;2PT Field Goal
Jump Shot;43;167;5;3;1;2008-09;28;0;2PT Field Goal
Jump Shot;199;68;8;2;0;2006-07;31;1;2PT Field Goal
Jump Shot;-148;71;0;3;0;2003-04;0;0;2PT Field Goal
Jump Shot;-42;70;4;4;0;2001-02;33;1;2PT Field Goal
Jump Shot;-51;30;5;1;0;2014-15;9;0;2PT Field Goal
Layup;29;-2;1;3;1;2011-12;22;0;2PT Field Goal
Jump Shot;115;8;11;3;0;1998-99;14;1;2PT Field Goal
Jump Shot;-37;249;11;1;0;2013-14;38;0;3PT Field Goal
Jump Shot;143;74;7;1;1;1999-00;12;0;2PT Field Goal
Jump Shot;132;203;6;1;0;2009-10;45;1;3PT Field Goal
Jump Shot;-63;121;8;3;0;1999-00;32;0;2PT Field Goal
Jump Shot;77;115;9;1;1;2010-11;18;1;2PT Field Goal
Layup;0;0;0;4;0;2003-04;41;1;2PT Field Goal
Jump Shot;-119;7;7;3;1;2000-01;43;0;2PT Field Goal
Jump Shot;67;0;7;1;0;2004-05;53;0;2PT Field Goal
Jump Shot;-16;278;5;3;0;1997-98;24;0;3PT Field Goal
Jump Shot;125;176;0;2;0;2011-12;16;1;2PT Field Goal
Jump Shot;-81;252;5;2;0;2010-11;7;0;3PT Field Goal
Jump Shot;-141;76;10;1;0;1999-00;32;0;2PT Field Goal
Layup;0;0;4;2;1;1997-98;28;0;2PT Field Goal
Jump Shot;-8;118;10;4;1;2009-10;10;1;2PT Field Goal
Jump Shot;142;133;11;2;0;2001-02;20;0;2PT Field Goal
Jump Shot;135;161;4;3;1;2005-06;7;0;2PT Field Goal
Jump Shot;-141;-8;3;2;0;2000-01;30;1;2PT Field Goal
Jump Shot;51;97;11;2;0;2001-02;2;0;2PT Field Goal
Jump Shot;108;181;1;1;0;2008-09;56;0;2PT Field Goal
Jump Shot;153;143;0;4;0;2004-05;0;0;2PT Field Goal
Jump Shot;81;44;1;4;0;2011-12;6;1;2PT Field Goal
Jump Shot;164;117;11;1;0;2007-08;39;1;2PT Field Goal
Jump Shot;-52;248;2;4;0;2005-06;23;0;3PT Field Goal
Jump Shot;-95;0;4;3;0;2004-05;29;1;2PT Field Goal
Dunk;0;0;0;4;0;1997-98;32;1;2PT Field Goal
Jump Shot;1;253;1;2;0;2002-03;56;0;3PT Field Goal
Jump Shot;-141;209;8;1;0;2009-10;1;1;3PT Field Goal
Layup;-2;9;4;3;0;2012-13;44;0;2PT Field Goal
Layup;0;0;9;4;1;1998-99;17;1;2PT Field Goal
Jump Shot;35;134;9;2;1;1998-99;59;0;2PT Field Goal
Jump Shot;161;74;8;3;0;2000-01;42;0;2PT Field Goal
Jump Shot;61;41;2;2;0;2015-16;20;0;2PT Field Goal
Jump Shot;143;148;4;3;0;2006-07;3;1;2PT Field Goal
Layup;0;0;10;4;0;2004-05;47;0;2PT Field Goal
Jump Shot;-90;165;4;3;0;2008-09;7;0;2PT Field Goal
Jump Shot;28;121;10;3;0;2008-09;25;0;2PT Field Goal
Jump Shot;-97;31;7;1;0;2002-03;35;1;2PT Field Goal
Jump Shot;-73;1;9;1;0;2009-10;36;1;2PT Field Goal
Jump Shot;-54;102;9;3;0;2007-08;35;0;2PT Field Goal
Jump Shot;130;156;7;4;0;2005-06;44;0;2PT Field Goal
Jump Shot;136;26;3;3;0;2006-07;47;0;2PT Field Goal
Jump Shot;-171;179;9;3;0;2006-07;57;0;3PT Field Goal
Dunk;0;0;3;4;0;2001-02;7;1;2PT Field Goal
Jump Shot;21;46;7;1;0;2002-03;55;0;2PT Field Goal
Jump Shot;62;172;5;3;0;2012-13;45;1;2PT Field Goal
Jump Shot;10;132;5;4;0;2002-03;35;0;2PT Field Goal
Jump Shot;46;59;0;1;1;1997-98;33;1;2PT Field Goal
Jump Shot;3;274;0;4;0;1998-99;48;0;3PT Field Goal
Jump Shot;-56;160;1;1;1;2002-03;22;0;2PT Field Goal
Jump Shot;40;119;8;1;0;2014-15;11;0;2PT Field Goal
Dunk;0;0;6;3;0;2008-09;48;1;2PT Field Goal
Jump Shot;24;33;5;4;0;2012-13;30;0;2PT Field Goal
Jump Shot;-18;63;2;4;0;1998-99;47;1;2PT Field Goal
Jump Shot;-59;46;0;4;0;1997-98;30;0;2PT Field Goal
Layup;0;0;5;3;0;2004-05;58;0;2PT Field Goal
Jump Shot;-161;201;6;1;0;2009-10;59;0;3PT Field Goal
Jump Shot;-202;82;4;1;1;2003-04;33;0;2PT Field Goal
Layup;28;9;6;3;0;2014-15;32;1;2PT Field Goal
Jump Shot;82;210;1;2;0;2006-07;9;0;2PT Field Goal
Jump Shot;179;178;11;3;0;2010-11;14;1;3PT Field Goal
Dunk;0;0;1;2;0;2001-02;18;1;2PT Field Goal
Jump Shot;151;254;0;4;0;2008-09;22;0;3PT Field Goal
Jump Shot;-191;83;3;3;1;2011-12;36;0;2PT Field Goal
Jump Shot;89;14;6;3;1;2011-12;14;1;2PT Field Goal
Jump Shot;-4;114;1;2;0;2001-02;33;1;2PT Field Goal
Jump Shot;83;241;3;4;0;2014-15;10;0;3PT Field Goal
Jump Shot;-169;138;1;1;0;2004-05;43;0;2PT Field Goal
Jump Shot;66;125;1;4;0;2005-06;24;0;2PT Field Goal
Jump Shot;176;210;0;2;0;2006-07;0;0;3PT Field Goal
Jump Shot;61;89;0;2;0;2011-12;38;1;2PT Field Goal
Jump Shot;-66;81;11;3;0;2002-03;23;1;2PT Field Goal
Jump Shot;-239;-5;2;1;0;2012-13;9;0;3PT Field Goal
Dunk;0;0;5;3;0;2001-02;22;1;2PT Field Goal
Jump Shot;248;17;11;4;0;2005-06;13;0;3PT Field Goal
Layup;0;0;4;1;0;2005-06;43;1;2PT Field Goal
Jump Shot;-84;132;9;2;0;2009-10;29;1;2PT Field Goal
Jump Shot;53;115;8;1;0;2015-16;3;1;2PT Field Goal
Jump Shot;97;138;6;3;0;2008-09;18;1;2PT Field Goal
Dunk;0;0;2;3;0;2001-02;57;1;2PT Field Goal
Jump Shot;-198;160;3;3;0;2008-09;54;1;3PT Field Goal
Jump Shot;132;118;9;2;1;2000-01;12;0;2PT Field Goal
Jump Shot;-191;230;0;4;0;2001-02;25;0;3PT Field Goal
Jump Shot;115;59;8;4;0;2002-03;57;1;2PT Field Goal
Layup;0;0;5;1;0;2001-02;38;0;2PT Field Goal
Jump Shot;-139;52;1;3;0;2012-13;36;0;2PT Field Goal
Jump Shot;-120;220;6;2;1;2007-08;0;0;3PT Field Goal
Jump Shot;-23;54;1;6;0;1996-97;12;0;2PT Field Goal
Layup;0;0;9;3;0;2003-04;8;1;2PT Field Goal
Jump Shot;-142;211;10;3;0;2009-10;51;0;3PT Field Goal
Jump Shot;186;123;8;1;0;2005-06;0;0;2PT Field Goal
Jump Shot;58;137;2;3;0;2009-10;49;0;2PT Field Goal
Jump Shot;-102;164;9;2;0;2005-06;18;1;2PT Field Goal
Layup;1;6;0;1;0;2012-13;23;1;2PT Field Goal
Jump Shot;156;233;0;4;0;2006-07;0;0;3PT Field Goal
Jump Shot;-92;111;9;1;0;2015-16;19;0;2PT Field Goal
Jump Shot;29;48;4;3;0;1998-99;2;1;2PT Field Goal
Jump Shot;117;229;5;1;0;2004-05;44;0;3PT Field Goal
Jump Shot;132;127;4;4;0;2000-01;35;0;2PT Field Goal
Jump Shot;143;104;7;2;1;1999-00;37;0;2PT Field Goal
Jump Shot;-131;38;8;3;1;2003-04;3;0;2PT Field Goal
Dunk;-2;-3;5;3;0;2012-13;1;1;2PT Field Goal
Jump Shot;-172;186;1;1;0;2002-03;36;0;3PT Field Goal
Jump Shot;42;82;3;4;0;2015-16;24;0;2PT Field Goal
Layup;0;0;5;1;0;2001-02;10;0;2PT Field Goal
Jump Shot;-217;121;10;2;0;2009-10;22;1;3PT Field Goal
Jump Shot;231;57;8;1;0;2000-01;17;0;3PT Field Goal
Jump Shot;-112;105;7;3;0;2015-16;36;1;2PT Field Goal
Jump Shot;-57;91;4;4;0;2002-03;12;0;2PT Field Goal
Jump Shot;138;228;5;1;0;2009-10;17;0;3PT Field Goal
Jump Shot;-11;38;1;3;0;2007-08;39;0;2PT Field Goal
Jump Shot;151;187;7;4;1;2011-12;40;0;3PT Field Goal
Layup;0;0;0;2;0;2001-02;4;0;2PT Field Goal
Layup;0;0;10;4;0;2009-10;26;1;2PT Field Goal
Jump Shot;16;192;1;1;0;1998-99;46;1;2PT Field Goal
Layup;0;0;10;3;0;2008-09;9;0;2PT Field Goal
Layup;0;0;6;4;0;1999-00;14;0;2PT Field Goal
Jump Shot;-141;3;1;4;0;2011-12;34;1;2PT Field Goal
Jump Shot;72;113;5;3;0;2009-10;19;1;2PT Field Goal
Jump Shot;108;-2;11;3;0;2001-02;51;0;2PT Field Goal
Jump Shot;-2;41;5;4;0;2003-04;58;1;2PT Field Goal
Jump Shot;192;181;5;4;0;1997-98;43;0;3PT Field Goal
Jump Shot;-71;95;4;1;0;2006-07;50;0;2PT Field Goal
Jump Shot;135;38;0;3;1;2003-04;53;0;2PT Field Goal
Jump Shot;138;110;6;3;0;2000-01;16;1;2PT Field Goal
Jump Shot;-162;45;1;1;0;2000-01;53;0;2PT Field Goal
Jump Shot;-2;211;2;1;0;2011-12;7;1;2PT Field Goal
Jump Shot;100;12;1;4;0;2011-12;25;0;2PT Field Goal
Jump Shot;-145;26;11;3;0;2015-16;41;1;2PT Field Goal
Jump Shot;-156;-9;11;3;0;2004-05;43;1;2PT Field Goal
Jump Shot;-191;202;9;3;0;2005-06;37;0;3PT Field Goal
Jump Shot;-174;199;6;3;0;2005-06;22;1;3PT Field Goal
Jump Shot;-77;263;1;4;0;2005-06;1;1;3PT Field Goal
Jump Shot;-237;-10;11;4;0;2015-16;18;0;3PT Field Goal
Jump Shot;174;131;3;4;0;2014-15;45;0;2PT Field Goal
Jump Shot;-159;199;10;1;0;2004-05;2;0;3PT Field Goal
Jump Shot;-172;174;0;2;0;2005-06;35;1;3PT Field Goal
